203.903, 129.205, 8.333, 19.500 False
203.070, 129.211, 8.333, 19.600 False
202.237, 129.218, 8.333, 19.700 False
201.404, 129.224, 8.333, 19.800 False
200.570, 129.231, 8.333, 19.900 False
199.737, 129.238, 8.333, 20.000 False
198.904, 129.246, 8.333, 20.100 False
198.070, 129.253, 8.333, 20.200 False
197.237, 129.261, 8.333, 20.300 False
196.404, 129.269, 8.333, 20.400 False
195.570, 129.277, 8.333, 20.500 False
194.737, 129.285, 8.333, 20.600 False
193.904, 129.293, 8.333, 20.700 False
193.070, 129.301, 8.333, 20.800 False
192.237, 129.310, 8.333, 20.900 False
191.404, 129.318, 8.333, 21.000 False
190.571, 129.327, 8.333, 21.100 False
189.737, 129.335, 8.333, 21.200 False
188.904, 129.344, 8.333, 21.300 False
188.071, 129.353, 8.333, 21.400 False
187.238, 129.361, 8.333, 21.500 False
186.405, 129.369, 8.333, 21.600 False
185.571, 129.378, 8.333, 21.700 False
184.738, 129.386, 8.333, 21.800 False
183.905, 129.395, 8.333, 21.900 False
183.072, 129.403, 8.333, 22.000 False
182.238, 129.411, 8.333, 22.100 False
181.405, 129.419, 8.333, 22.200 False
180.572, 129.427, 8.333, 22.300 False
179.739, 129.434, 8.333, 22.400 False
178.905, 129.442, 8.333, 22.500 False
178.072, 129.449, 8.333, 22.600 False
177.239, 129.456, 8.333, 22.700 False
176.405, 129.464, 8.333, 22.800 False
175.572, 129.470, 8.333, 22.900 False
174.739, 129.477, 8.333, 23.000 False
173.905, 129.484, 8.333, 23.100 False
173.072, 129.490, 8.333, 23.200 False
172.239, 129.496, 8.333, 23.300 False
171.405, 129.502, 8.333, 23.400 False
170.572, 129.507, 8.333, 23.500 False
169.739, 129.513, 8.333, 23.600 False
168.905, 129.518, 8.333, 23.700 False
168.072, 129.523, 8.333, 23.800 False
167.239, 129.528, 8.333, 23.900 False
166.405, 129.532, 8.333, 24.000 False
165.572, 129.537, 8.333, 24.100 False
164.739, 129.541, 8.333, 24.200 False
163.905, 129.545, 8.333, 24.300 False
163.072, 129.548, 8.333, 24.400 False
162.239, 129.552, 8.333, 24.500 False
161.405, 129.555, 8.333, 24.600 False
160.572, 129.558, 8.333, 24.700 False
159.739, 129.560, 8.333, 24.800 False
158.906, 129.563, 8.333, 24.900 False
158.072, 129.565, 8.333, 25.000 False
157.239, 129.567, 8.333, 25.100 False
156.406, 129.569, 8.333, 25.200 False
155.572, 129.571, 8.333, 25.300 False
154.739, 129.572, 8.333, 25.400 False
153.906, 129.574, 8.333, 25.500 False
153.072, 129.575, 8.333, 25.600 False
152.239, 129.576, 8.333, 25.700 False
151.406, 129.576, 8.333, 25.800 False
150.572, 129.577, 8.333, 25.900 False
149.739, 129.577, 8.333, 26.000 False
148.906, 129.578, 8.333, 26.100 False
